# Constructed from biom file
# OTU ID	SSU_rRNA	taxonomy	taxid
100053	1647.0	sk__Eukaryota	2759
87341	2.0	sk__Eukaryota;k__;p__;c__;o__Colponemida	2683325
167998	33.0	sk__Eukaryota;k__;p__;c__;o__Pirsoniales	2587759
22052	2.0	sk__Eukaryota;k__;p__;c__;o__Pirsoniales;f__;g__Pirsonia	230408
48316	89.0	sk__Eukaryota;k__;p__;c__;o__Pirsoniales;f__;g__Pirsonia;s__Pirsonia_verrucosa	230411
137496	109.0	sk__Eukaryota;k__;p__;c__;o__Telonemida;f__;g__Telonema	232264
101265	11.0	sk__Eukaryota;k__;p__;c__Acantharea	65574
184246	3.0	sk__Eukaryota;k__;p__;c__Acantharea;o__Arthracanthida	85460
49577	6.0	sk__Eukaryota;k__;p__;c__Bigyra	2683628
52583	3.0	sk__Eukaryota;k__;p__;c__Bigyra;o__Amphifilida	2699529
125725	2.0	sk__Eukaryota;k__;p__;c__Bigyra;o__Amphifilida;f__;g__Sorodiplophrys	1804150
129336	2.0	sk__Eukaryota;k__;p__;c__Bigyra;o__Bicosoecida	33651
121193	1.0	sk__Eukaryota;k__;p__;c__Bigyra;o__Oblongichytrida;f__;g__Oblongichytrium;s__Oblongichytrium_sp._SEK_599	1524182
108583	1.0	sk__Eukaryota;k__;p__;c__Bigyra;o__Thraustochytrida;f__Thraustochytriaceae	33674
60183	8.0	sk__Eukaryota;k__;p__;c__Bolidophyceae;o__Parmales;f__Triparmaceae	722751
33947	10.0	sk__Eukaryota;k__;p__;c__Bolidophyceae;o__Parmales;f__Triparmaceae;g__Bolidomonas	91990
155181	15.0	sk__Eukaryota;k__;p__;c__Bolidophyceae;o__Parmales;f__Triparmaceae;g__Triparma	722752
157930	102.0	sk__Eukaryota;k__;p__;c__Choanoflagellata	28009
172613	1.0	sk__Eukaryota;k__;p__;c__Choanoflagellata;o__;f__;g__;s__Choanoflagellida_sp._SL163	429458
106316	45.0	sk__Eukaryota;k__;p__;c__Choanoflagellata;o__Acanthoecida;f__Stephanoecidae	1158810
148389	7.0	sk__Eukaryota;k__;p__;c__Choanoflagellata;o__Acanthoecida;f__Stephanoecidae;g__Diaphanoeca	28013
57793	2.0	sk__Eukaryota;k__;p__;c__Choanoflagellata;o__Acanthoecida;f__Stephanoecidae;g__Stephanoeca	81534
212712	19.0	sk__Eukaryota;k__;p__;c__Choanoflagellata;o__Craspedida;f__Salpingoecidae;g__Bicosta	1864601
177097	36.0	sk__Eukaryota;k__;p__;c__Chrysophyceae	2825
85114	240.0	sk__Eukaryota;k__;p__;c__Cryptophyceae	3027
72180	1.0	sk__Eukaryota;k__;p__;c__Cryptophyceae;o__Cryptomonadales	589350
81059	3.0	sk__Eukaryota;k__;p__;c__Cryptophyceae;o__Kathablepharidacea;f__Katablepharidaceae;g__Katablepharis	339962
135238	4.0	sk__Eukaryota;k__;p__;c__Cryptophyceae;o__Kathablepharidacea;f__Katablepharidaceae;g__Leucocryptos	299205
52322	29.0	sk__Eukaryota;k__;p__;c__Cryptophyceae;o__Pyrenomonadales;f__Geminigeraceae;g__Teleaulax	77930
15591	8.0	sk__Eukaryota;k__;p__;c__Cryptophyceae;o__Pyrenomonadales;f__Pyrenomonadaceae;g__Rhodomonas;s__Rhodomonas_sp._1_EDK-2013	1420817
83264	9.0	sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Dictyochales;f__;g__Dictyocha	35686
6223	1.0	sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Florenciellales	590977
15582	1.0	sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Florenciellales;f__;g__Florenciella	236786
96099	1.0	sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Florenciellales;f__;g__Pseudochattonella	467778
69447	131.0	sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Pedinellales	35680
138191	1.0	sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Pedinellales;f__;g__Pteridomonas	38821
179336	21.0	sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Pedinellales;f__;g__Pteridomonas;s__Pteridomonas_danica	38822
71908	1062.0	sk__Eukaryota;k__;p__;c__Dinophyceae	2864
234892	1.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Blastodiniales;f__;g__Blastodinium	363324
141961	357.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Blastodiniales;f__;g__Haplozoon	160616
96761	4.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Gonyaulacales;f__Gonyaulacaceae	33834
73514	1.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Gonyaulacales;f__Gonyaulacaceae;g__Gonyaulax	2912
137069	65.0	sk__Eukaryota;k__;p__;c__Dinophyceae;o__Gymnodiniales	2953
