# Constructed from biom file
# OTU ID	SSU_rRNA	taxonomy	taxid
100053	7.0	sk__Eukaryota	2759
138664	1.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Bacillariophyceae	33849
141324	1.0	sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae;o__Thalassiosirales	33847
110004	1.0	sk__Eukaryota;k__;p__Imbricatea;c__;o__Marimonadida	1736122
25778	40.0	sk__Eukaryota;k__Fungi	4751
229700	143.0	sk__Eukaryota;k__Fungi;p__Ascomycota	4890
91564	1.0	sk__Eukaryota;k__Fungi;p__Ascomycota;c__Leotiomycetes	147548
192536	22.0	sk__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes	4891
11297	1609.0	sk__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales	4892
22761	16.0	sk__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__;g__Candida	5475
155652	88.0	sk__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae	766764
76082	32.0	sk__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Candida	1535326
121326	445.0	sk__Eukaryota;k__Fungi;p__Ascomycota;c__Sordariomycetes	147550
202325	3.0	sk__Eukaryota;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales	1028384
126240	157.0	sk__Eukaryota;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales	5125
198266	33.0	sk__Eukaryota;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales	5592
18415	253.0	sk__Eukaryota;k__Fungi;p__Basidiomycota	5204
84	1.0	sk__Eukaryota;k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales	162474
19610	1.0	sk__Eukaryota;k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae	742845
54944	137.0	sk__Eukaryota;k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia	55193
226653	573.0	sk__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes	155616
23747	1.0	sk__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	5234
149908	25.0	sk__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales	1851469
2474	12.0	sk__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae	1759442
44745	1.0	sk__Eukaryota;k__Fungi;p__Chytridiomycota	4761
174880	4.0	sk__Eukaryota;k__Metazoa;p__Cnidaria;c__Hydrozoa	6074
153217	1.0	sk__Eukaryota;k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Anthoathecata	406427
