GeneID	MGYA00661780-SRS5061789	MGYA00661782-SRS5061780	MGYA00661783-SRS5061791	MGYA00661784-SRS5061788	MGYA00661785-SRS5061785	MGYA00661787-SRS5061770	MGYA00661789-SRS5061775	MGYA00661791-SRS5061774	MGYA00661792-SRS5061794	MGYA00661793-SRS5061783
f_taxa_Clostridiales_Family_XIII._Incertae_Sedis	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	1.0
f_taxa_Comamonadaceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f_taxa_Corynebacteriaceae	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
f_taxa_Debaryomycetaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
f_taxa_Eggerthellaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
f_taxa_Erysipelotrichaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
f_taxa_Flavobacteriaceae	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0
f_taxa_Fusobacteriaceae	1.0	0.0	0.0	1.0	2.0	1.0	3.0	2.0	1.0	1.0
f_taxa_Hungateiclostridiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
f_taxa_Lachnospiraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
f_taxa_Lactobacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
f_taxa_Leptotrichiaceae	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
f_taxa_Neisseriaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
f_taxa_Pasteurellaceae	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0
f_taxa_Peptoniphilaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0
f_taxa_Peptostreptococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
f_taxa_Porphyromonadaceae	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
f_taxa_Prevotellaceae	1.0	0.0	1.0	2.0	1.0	1.0	1.0	2.0	0.0	2.0
f_taxa_Ruminococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
f_taxa_Selenomonadaceae	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0
f_taxa_Spirochaetaceae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
f_taxa_Streptococcaceae	1.0	0.0	1.0	0.0	2.0	1.0	2.0	1.0	0.0	2.0
f_taxa_Streptomycetaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
f_taxa_Synergistaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0
f_taxa_Tannerellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
f_taxa_Veillonellaceae	0.0	0.0	1.0	0.0	1.0	0.0	7.0	6.0	0.0	3.0
g_taxa_	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0
g_taxa_Actinomyces	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
g_taxa_Aggregatibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
g_taxa_Alloprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
g_taxa_Anaeroglobus	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
g_taxa_Atopobium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
g_taxa_Campylobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
g_taxa_Capnocytophaga	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0
g_taxa_Corynebacterium	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
g_taxa_Cryptobacterium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
g_taxa_Dialister	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	2.0
g_taxa_Fastidiosipila	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
g_taxa_Fretibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0
g_taxa_Fusobacterium	1.0	0.0	0.0	1.0	2.0	1.0	3.0	2.0	1.0	1.0
g_taxa_Haemophilus	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
g_taxa_Lactobacillus	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
g_taxa_Leptotrichia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
g_taxa_Mogibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
g_taxa_Olsenella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
g_taxa_Parvimonas	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0
g_taxa_Peptostreptococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
g_taxa_Porphyromonas	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
g_taxa_Prevotella	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
