PCA_svm,0.9767,0.9179,0.95,0.8962,0.9223,2023-12-23 00:20:35.174132,45.82,44.27,"{'C': 8, 'gamma': 8, 'kernel': 'rbf'}"
PCA_rf,0.9701,0.9282,0.94,0.9216,0.9307,2023-12-23 00:30:24.472441,635.12,589.29,"{'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 900}"
PCA_mlp,0.9808,0.9436,0.96,0.932,0.9458,2023-12-23 01:55:34.743235,5745.39,5110.26,"{'dropout_rate': 0.3, 'epochs': 100, 'numHiddenLayers': 2, 'numUnits': 100}"
RandP_svm,0.9736,0.9077,0.94,0.8868,0.9126,2023-12-23 02:00:48.492818,121.8,120.91,"{'C': 8, 'gamma': 8, 'kernel': 'rbf'}"
RandP_rf,0.9715,0.9282,0.94,0.9216,0.9307,2023-12-23 02:20:12.701067,1286.01,1164.2,"{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}"
RandP_mlp,0.9711,0.9487,0.96,0.9412,0.9505,2023-12-23 03:56:46.079099,7079.39,5793.37,"{'dropout_rate': 0.1, 'epochs': 50, 'numHiddenLayers': 2, 'numUnits': 100}"
svm,0.976,0.9128,0.94,0.8952,0.9171,2023-12-23 04:03:48.238417,241.94,241.94,"{'C': 8, 'gamma': 8, 'kernel': 'rbf'}"
rf,0.9996,0.9846,0.98,0.9899,0.9849,2023-12-23 04:14:40.158070,893.86,651.84,"{'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 900}"
mlp,0.9759,0.959,0.95,0.9694,0.9596,2023-12-23 06:24:54.616172,8708.33,7814.46,"{'dropout_rate': 0.1, 'epochs': 30, 'numHiddenLayers': 3, 'numUnits': 100}"
