superkingdom	kingdom	phylum	ERZ1740926_FASTA
Archaea	Unassigned	Unassigned	1
Bacteria	Unassigned	Bacteroidetes	7
Bacteria	Unassigned	Chloroflexi	2
Bacteria	Unassigned	Cyanobacteria	2
Bacteria	Unassigned	Planctomycetes	1
Bacteria	Unassigned	Proteobacteria	20
Bacteria	Unassigned	Unassigned	6
Eukaryota	Metazoa	Arthropoda	1
Eukaryota	Metazoa	Nematoda	1
Eukaryota	Metazoa	Unassigned	2
Eukaryota	Unassigned	Apicomplexa	3
Eukaryota	Unassigned	Bacillariophyta	1
Eukaryota	Unassigned	Cercozoa	1
Unassigned	Unassigned	Unassigned	16
