superkingdom	kingdom	phylum	SRR13778508_MERGED_FASTQ	SRR13778628_MERGED_FASTQ	SRR13778521_MERGED_FASTQ	SRR13778520_MERGED_FASTQ	SRR13778519_MERGED_FASTQ	SRR13778518_MERGED_FASTQ	SRR13778516_MERGED_FASTQ	SRR13778515_MERGED_FASTQ	SRR13778514_MERGED_FASTQ	SRR13778513_MERGED_FASTQ	SRR13778512_MERGED_FASTQ	SRR13778505_MERGED_FASTQ	SRR13778492_MERGED_FASTQ	SRR13778222_MERGED_FASTQ	SRR13778007_MERGED_FASTQ	SRR13777946_MERGED_FASTQ	SRR13777927_MERGED_FASTQ	SRR13777766_MERGED_FASTQ	SRR13777748_MERGED_FASTQ	SRR13777747_MERGED_FASTQ	SRR13777728_MERGED_FASTQ
Archaea	Unassigned	Euryarchaeota	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Bacteroidetes	0	0	0	0	0	8	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Cyanobacteria	0	0	0	0	0	1	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Planctomycetes	0	0	0	0	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Proteobacteria	0	1	0	2	7	14	0	0	38	24	1	2	0	0	0	1	1	1	1	1	1
Bacteria	Unassigned	Unassigned	1	0	1	0	0	22	13	1	85	2	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Verrucomicrobia	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Unassigned	0	0	0	0	0	0	0	0	5	0	0	0	1	0	1	0	0	0	0	0	0
Eukaryota	Viridiplantae	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
