superkingdom	kingdom	phylum	SRR13978093_MERGED_FASTQ	SRR13978086_MERGED_FASTQ	SRR13978082_MERGED_FASTQ	SRR13978075_MERGED_FASTQ	SRR13978074_MERGED_FASTQ	SRR13978094_MERGED_FASTQ	SRR13978085_MERGED_FASTQ	SRR13978084_MERGED_FASTQ	SRR13978081_MERGED_FASTQ	SRR13978079_MERGED_FASTQ	SRR13978078_MERGED_FASTQ	SRR13978077_MERGED_FASTQ	SRR13978092_MERGED_FASTQ	SRR13978087_MERGED_FASTQ	SRR13978073_MERGED_FASTQ	SRR13978091_MERGED_FASTQ	SRR13978089_MERGED_FASTQ	SRR13978088_MERGED_FASTQ	SRR13978076_MERGED_FASTQ	SRR13978090_MERGED_FASTQ	SRR13978083_MERGED_FASTQ	SRR13978080_MERGED_FASTQ	SRR13978072_MERGED_FASTQ
Bacteria	Unassigned	Candidatus_Roizmanbacteria	7	8	4	1	1	13	6	2	2	22	8	3	1	0	3	0	1	2	0	1	1	1	3
Bacteria	Unassigned	Candidatus_Rokubacteria	146	1205	1565	1229	1337	259	447	730	1395	67	66	189	699	412	0	699	272	260	1	1150	441	253	31
Bacteria	Unassigned	Candidatus_Ryanbacteria	2	0	0	1	0	4	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	2	0
Bacteria	Unassigned	Candidatus_Saccharibacteria	3608	9039	13903	11171	13131	3040	1994	1428	12221	4249	3982	2431	2351	1088	2807	641	1105	892	3245	1001	946	2086	2029
Bacteria	Unassigned	Candidatus_Spechtbacteria	21	3	0	0	8	7	0	0	0	53	7	4	0	0	6	0	1	0	9	0	0	3	8
Bacteria	Unassigned	Candidatus_Staskawiczbacteria	1	5	5	8	5	2	6	43	1	0	2	0	12	2	1	0	0	5	0	1	5	0	0
Bacteria	Unassigned	Candidatus_Tectomicrobia	0	499	1158	800	999	7	50	125	690	78	0	6	44	99	4	41	52	7	2	37	51	117	40
Bacteria	Unassigned	Candidatus_Terrybacteria	0	0	0	0	0	0	0	2	0	0	0	0	9	1	0	3	8	0	0	1	3	0	0
Bacteria	Unassigned	Candidatus_Uhrbacteria	25	10	28	10	19	0	63	18	35	1	5	1	61	24	3	4	11	21	5	11	21	10	13
Bacteria	Unassigned	Candidatus_Veblenbacteria	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	4	2	0	0	5	0	0
