superkingdom	kingdom	phylum	ERR5378024_MERGED_FASTQ	ERR5378045_MERGED_FASTQ	ERR5378042_MERGED_FASTQ	ERR5378038_MERGED_FASTQ	ERR5378034_MERGED_FASTQ	ERR5378025_MERGED_FASTQ	ERR5378052_MERGED_FASTQ	ERR5378050_MERGED_FASTQ	ERR5378049_MERGED_FASTQ	ERR5378046_MERGED_FASTQ	ERR5378044_MERGED_FASTQ	ERR5378041_MERGED_FASTQ	ERR5378040_MERGED_FASTQ	ERR5378039_MERGED_FASTQ	ERR5378037_MERGED_FASTQ	ERR5378036_MERGED_FASTQ	ERR5378033_MERGED_FASTQ	ERR5378028_MERGED_FASTQ	ERR5378023_MERGED_FASTQ	ERR5378022_MERGED_FASTQ	ERR5378053_MERGED_FASTQ	ERR5378051_MERGED_FASTQ	ERR5378048_MERGED_FASTQ	ERR5378047_MERGED_FASTQ	ERR5378043_MERGED_FASTQ	ERR5378035_MERGED_FASTQ	ERR5378032_MERGED_FASTQ	ERR5378031_MERGED_FASTQ	ERR5378030_MERGED_FASTQ	ERR5378029_MERGED_FASTQ	ERR5378027_MERGED_FASTQ	ERR5378026_MERGED_FASTQ	ERR5378021_MERGED_FASTQ	ERR5378020_MERGED_FASTQ	ERZ2610364_FASTA	ERZ2610361_FASTA	ERZ2610360_FASTA	ERZ2610341_FASTA	ERZ2610340_FASTA	ERZ2610338_FASTA	ERZ2610336_FASTA	ERZ2610353_FASTA	ERZ2610365_FASTA	ERZ2610357_FASTA	ERZ2610356_FASTA	ERZ2610352_FASTA	ERZ2610349_FASTA	ERZ2610348_FASTA	ERZ2610345_FASTA	ERZ2610344_FASTA	ERZ2610367_FASTA	ERZ2610366_FASTA	ERZ2610363_FASTA	ERZ2610362_FASTA	ERZ2610358_FASTA	ERZ2610339_FASTA	ERZ2610359_FASTA	ERZ2610355_FASTA	ERZ2610354_FASTA	ERZ2610350_FASTA	ERZ2610347_FASTA	ERZ2610346_FASTA	ERZ2610343_FASTA	ERZ2610342_FASTA
Eukaryota	Unassigned	Cercozoa	66084	0	3	5	0	0	0	0	6	1	1	2	0	1	1	0	0	0	12020	0	0	0	1	4	2	0	0	0	0	0	2	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Ciliophora	17891	0	0	3	1	0	0	0	0	0	0	1	0	3	0	0	0	1	5699	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Discosea	7013	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2659	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Endomyxa	233	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Euglenozoa	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Evosea	4367	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2885	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Foraminifera	845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Fornicata	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Haptista	318	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Heterolobosea	832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Imbricatea	6624	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	7159	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Parabasalia	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Perkinsozoa	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Picozoa	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Preaxostyla	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Rhodophyta	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Tubulinea	21625	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Unassigned	144954	38	44	42	0	28	1	8	98	3	24	29	4	10	11	15	1	8	150152	8	6	2	3	59	36	0	6	10	0	1	16	0	8	21	2	5	9	1	6	0	0	0	3	2	5	0	0	3	4	0	5	0	6	5	0	0	0	0	0	0	7	0	0	0
Eukaryota	Viridiplantae	Chlorophyta	8819	2	3	1	0	1	0	0	1	0	0	1	1	0	1	0	0	1	11833	3	1	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Viridiplantae	Streptophyta	136065	59	28	38	0	12	0	5	133	0	33	40	1	8	11	14	3	7	219297	5	4	5	0	79	17	0	1	1	0	0	8	1	5	38	5	4	2	1	2	1	0	0	2	1	4	0	0	1	1	0	4	3	0	4	2	1	1	1	2	0	2	3	0	3
Eukaryota	Viridiplantae	Unassigned	37095	12	6	8	0	11	0	1	33	0	7	9	3	1	6	2	3	3	61106	1	3	1	0	11	3	0	0	3	0	2	3	0	5	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned	Unassigned	Unassigned	143	1	4	4	0	0	0	0	1	1	1	3	0	0	0	0	0	0	36	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
