superkingdom	kingdom	phylum	ERZ10545953_FASTA
Archaea	Unassigned	Euryarchaeota	4
Bacteria	Unassigned	Acidobacteria	9
Bacteria	Unassigned	Actinobacteria	8
Bacteria	Unassigned	Bacteroidetes	6
Bacteria	Unassigned	Balneolaeota	2
Bacteria	Unassigned	Candidatus_Saccharibacteria	1
Bacteria	Unassigned	Candidatus_Woesebacteria	3
Bacteria	Unassigned	Chloroflexi	7
Bacteria	Unassigned	Cyanobacteria	1
Bacteria	Unassigned	Deferribacteres	3
Bacteria	Unassigned	Deinococcus-Thermus	1
Bacteria	Unassigned	Firmicutes	8
Bacteria	Unassigned	Ignavibacteriae	4
Bacteria	Unassigned	Kiritimatiellaeota	1
Bacteria	Unassigned	Planctomycetes	4
Bacteria	Unassigned	Proteobacteria	43
Bacteria	Unassigned	Spirochaetes	2
Bacteria	Unassigned	Unassigned	22
Eukaryota	Unassigned	Discosea	6
Eukaryota	Unassigned	Unassigned	10
Eukaryota	Viridiplantae	Streptophyta	1
Unassigned	Unassigned	Unassigned	9
