superkingdom	kingdom	phylum	ERR3697776_MERGED_FASTQ	ERR3697775_MERGED_FASTQ	ERR3697769_MERGED_FASTQ	ERR3697764_MERGED_FASTQ	ERR3697760_MERGED_FASTQ	ERR3697758_MERGED_FASTQ	ERR3697757_MERGED_FASTQ	ERR3697756_MERGED_FASTQ	ERR3697755_MERGED_FASTQ	ERR3697754_MERGED_FASTQ	ERR3697753_MERGED_FASTQ	ERR3697752_MERGED_FASTQ	ERR3697748_MERGED_FASTQ	ERR3697746_MERGED_FASTQ	ERR3697743_MERGED_FASTQ	ERR3697742_MERGED_FASTQ	ERR3697738_MERGED_FASTQ	ERR3697737_MERGED_FASTQ	ERR3697736_MERGED_FASTQ	ERR3697733_MERGED_FASTQ	ERR3697732_MERGED_FASTQ	ERR3697728_MERGED_FASTQ	ERR3697727_MERGED_FASTQ	ERR3697720_MERGED_FASTQ	ERR3697718_MERGED_FASTQ	ERR3697713_MERGED_FASTQ	ERR3697712_MERGED_FASTQ	ERR3697698_MERGED_FASTQ	ERR3697694_MERGED_FASTQ	ERR3697692_MERGED_FASTQ	ERR3697792_MERGED_FASTQ	ERR3697790_MERGED_FASTQ	ERR3697782_MERGED_FASTQ	ERR3697789_MERGED_FASTQ	ERR3697780_MERGED_FASTQ	ERR3697779_MERGED_FASTQ	ERR3697778_MERGED_FASTQ	ERR3697772_MERGED_FASTQ	ERR3697771_MERGED_FASTQ	ERR3697770_MERGED_FASTQ	ERR3697768_MERGED_FASTQ	ERR3697767_MERGED_FASTQ	ERR3697766_MERGED_FASTQ	ERR3697765_MERGED_FASTQ	ERR3697763_MERGED_FASTQ	ERR3697762_MERGED_FASTQ	ERR3697761_MERGED_FASTQ	ERR3697759_MERGED_FASTQ	ERR3697751_MERGED_FASTQ	ERR3697750_MERGED_FASTQ	ERR3697747_MERGED_FASTQ	ERR3697745_MERGED_FASTQ	ERR3697744_MERGED_FASTQ	ERR3697741_MERGED_FASTQ	ERR3697740_MERGED_FASTQ	ERR3697739_MERGED_FASTQ	ERR3697735_MERGED_FASTQ	ERR3697734_MERGED_FASTQ	ERR3697731_MERGED_FASTQ	ERR3697730_MERGED_FASTQ	ERR3697729_MERGED_FASTQ	ERR3697726_MERGED_FASTQ	ERR3697725_MERGED_FASTQ	ERR3697724_MERGED_FASTQ	ERR3697723_MERGED_FASTQ	ERR3697722_MERGED_FASTQ	ERR3697721_MERGED_FASTQ	ERR3697719_MERGED_FASTQ	ERR3697717_MERGED_FASTQ	ERR3697716_MERGED_FASTQ	ERR3697715_MERGED_FASTQ	ERR3697714_MERGED_FASTQ	ERR3697711_MERGED_FASTQ	ERR3697710_MERGED_FASTQ	ERR3697709_MERGED_FASTQ	ERR3697708_MERGED_FASTQ	ERR3697707_MERGED_FASTQ	ERR3697706_MERGED_FASTQ	ERR3697705_MERGED_FASTQ	ERR3697704_MERGED_FASTQ	ERR3697703_MERGED_FASTQ	ERR3697702_MERGED_FASTQ	ERR3697696_MERGED_FASTQ	ERR3697695_MERGED_FASTQ	ERR3697693_MERGED_FASTQ	ERR3697690_MERGED_FASTQ	ERR3697688_MERGED_FASTQ	ERR3697686_MERGED_FASTQ	ERR3697678_MERGED_FASTQ	ERR3697677_MERGED_FASTQ	ERR3697675_MERGED_FASTQ	ERR3697666_MERGED_FASTQ	ERR3697663_MERGED_FASTQ	ERR3697658_MERGED_FASTQ	ERR3697701_MERGED_FASTQ	ERR3697700_MERGED_FASTQ	ERR3697699_MERGED_FASTQ	ERR3697697_MERGED_FASTQ	ERR3697691_MERGED_FASTQ	ERR3697689_MERGED_FASTQ	ERR3697687_MERGED_FASTQ	ERR3697685_MERGED_FASTQ	ERR3697684_MERGED_FASTQ	ERR3697683_MERGED_FASTQ	ERR3697682_MERGED_FASTQ	ERR3697681_MERGED_FASTQ	ERR3697680_MERGED_FASTQ	ERR3697679_MERGED_FASTQ	ERR3697676_MERGED_FASTQ	ERR3697674_MERGED_FASTQ	ERR3697673_MERGED_FASTQ	ERR3697672_MERGED_FASTQ	ERR3697671_MERGED_FASTQ	ERR3697670_MERGED_FASTQ	ERR3697669_MERGED_FASTQ	ERR3697668_MERGED_FASTQ	ERR3697667_MERGED_FASTQ	ERR3697665_MERGED_FASTQ	ERR3697664_MERGED_FASTQ	ERR3697662_MERGED_FASTQ	ERR3697661_MERGED_FASTQ	ERR3697660_MERGED_FASTQ	ERR3697659_MERGED_FASTQ	ERR3697657_MERGED_FASTQ	ERR3697656_MERGED_FASTQ	ERR3697655_MERGED_FASTQ	ERR3697654_MERGED_FASTQ	ERR3697653_MERGED_FASTQ	ERR3697652_MERGED_FASTQ	ERR3697777_MERGED_FASTQ	ERR3697781_MERGED_FASTQ	ERR3697783_MERGED_FASTQ	ERR3697784_MERGED_FASTQ	ERR3697785_MERGED_FASTQ	ERR3697786_MERGED_FASTQ	ERR3697787_MERGED_FASTQ	ERR3697788_MERGED_FASTQ	ERR3697791_MERGED_FASTQ	ERR3697774_MERGED_FASTQ	ERR3697773_MERGED_FASTQ
Bacteria	Unassigned	Candidatus_Chisholmbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Cloacimonetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Curtissbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Dadabacteria	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	1	8	0	0	0	3	1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Doudnabacteria	25	72	7	4	88	70	4	37	38	26	117	33	9	76	32	13	26	40	46	53	157	9	21	78	18	2	1	20	62	75	1	230	78	51	1	1	103	72	8	5	14	24	12	14	46	0	13	82	4	3	3	9	36	24	17	9	85	41	31	55	0	4	59	83	63	76	31	2	2	25	5	10	21	10	87	25	43	35	56	155	30	43	78	11	44	94	87	1	32	43	87	9	108	25	53	9	23	17	117	0	7	15	41	61	85	41	23	41	35	37	29	72	47	14	29	18	17	50	53	110	96	37	11	19	50	1	14	2	13	16	2	33	193	175	157	82	37	103	68	29
Bacteria	Unassigned	Candidatus_Falkowbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	4	2	0	0	7	0	482	310	0	0	3	0	0	0	0	0	2	0	0	0	14	2	0	0	0	0	4	0	0	0	0	13	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Firestonebacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Giovannonibacteria	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Bacteria	Unassigned	Candidatus_Gracilibacteria	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Harrisonbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
