kingdom	phylum	ERZ651776
Archaea	Euryarchaeota	5
Archaea	Thaumarchaeota	1
Bacteria	Actinobacteria	8
Bacteria	Bacteroidetes	40
Bacteria	Candidatus_Kaiserbacteria	2
Bacteria	Cyanobacteria	1
Bacteria	Planctomycetes	1
Bacteria	Proteobacteria	68
Bacteria	Unassigned	14
Bacteria	Verrucomicrobia	5
Chloroplast	Unassigned	19
Eukaryota	Annelida	1
Eukaryota	Arthropoda	1
Eukaryota	Bacillariophyta	3
Eukaryota	Bolidophyceae	2
Eukaryota	Chlorophyta	3
Eukaryota	Unassigned	29
Mitochondria	Unassigned	16
