kingdom	phylum	ERR2098365	ERR2098366	ERR2098367	ERR2098368	ERR2098369	ERR2098370	ERR2098371	ERR2098372	ERR2098373	ERR2098374	ERR2098375	ERR2098376	ERR2098377	ERR2098378	ERR2098379	ERR2098380	ERR2098381	ERR2098382	ERR2098383	ERR2098384	ERR2098385	ERR2098386	ERR2098387	ERR2098388	ERR2098389	ERR2098390	ERR2098391	ERR2098392	ERR2098393	ERR2098394	ERR2098395	ERR2098396	ERR2098397	ERR2098398	ERR2098399	ERR2098400	ERR2098401	ERR2098402	ERR2098403	ERR2098404	ERR2098405	ERR2098406	ERR2098407	ERR2098408	ERR2098409	ERR2098410	ERR2098411	ERR2098412	ERR2098413	ERR2098414	ERR2098415	ERR2098416	ERR2098417	ERR2098418	ERR2098419	ERR2098420	ERR2098421	ERR2098422	ERR2098423	ERR2098424	ERR2098425	ERR2098426	ERR2098427	ERR2098428	ERR2098429	ERR2098430	ERR2098431	ERR2098432	ERR2098433	ERR2098434	ERR2098435	ERR2098436	ERR2098437	ERR2098438	ERR2098439	ERR2098440	ERR2098441	ERR2098442	ERR2098443	ERR2098444	ERR2098445	ERR2098446	ERR2098447	ERR2098448	ERR2098449	ERR2098450	ERR2098451	ERR2098452	ERR2098453	ERR2098454	ERR2098455	ERR2098456	ERR2098457	ERR2098458	ERR2098459	ERR2098460	ERR2098461	ERR2098462	ERR2098463	ERR2098464	ERR2098465	ERR2098466	ERR2098467	ERR2098468	ERR2098469	ERR2098470	ERR2098471	ERR2098472	ERR2098473	ERR2098474	ERR2098475	ERR2098476	ERR2098477	ERR2098478	ERR2098479	ERR2098480	ERR2098481	ERR2098482	ERR2098483	ERR2098484	ERR2098485	ERR2098486	ERR2098487	ERR2098488	ERR2098489	ERR2098490	ERR2098491	ERR2098492	ERR2098493	ERR2098494	ERR2098495	ERR2098496	ERR2098497	ERR2098498	ERR2098499	ERR2098500	ERR2098501	ERR2098502	ERR2098503	ERR2098504	ERR2098505	ERR2098506	ERR2098507	ERR2098508	ERR2098509	ERR2098510	ERR2098511	ERR2098512	ERR2098513	ERR2098514	ERR2098515	ERR2098516	ERR2098517	ERR2098518	ERR2098519	ERR2098520	ERR2098521	ERR2098522	ERR2098523	ERR2098524	ERR2098525	ERR2098526	ERR2098527	ERR2098528	ERR2098529	ERR2098530	ERR2098531	ERR2098532	ERR2098533	ERR2098534	ERR2098535	ERR2098536	ERR2098537	ERR2098538	ERR2098539	ERR2098540	ERR2098541	ERR2098542	ERR2098543	ERR2098544	ERR2098545	ERR2098546	ERR2098547	ERR2098548	ERR2098549	ERR2098550	ERR2098551	ERR2098552	ERR2098553	ERR2098554	ERR2098555	ERR2098556	ERR2098557	ERR2098558	ERR2098559	ERR2098560	ERR2098561	ERR2098562	ERR2098563	ERR2098564	ERR2098565	ERR2098566	ERR2098567	ERR2098568	ERR2098569	ERR2098570	ERR2098571	ERR2098572	ERR2098573	ERR2098574	ERR2098575	ERR2098576	ERR2098577	ERR2098578	ERR2098579	ERR2098580	ERR2098581	ERR2098582	ERR2098583	ERR2098584	ERR2098585	ERR2098586	ERR2098587	ERR2098588	ERR2098589	ERR2098590	ERR2098591	ERR2098592	ERR2098593	ERR2098594	ERR2098595	ERR2098596	ERR2098597	ERR2098598	ERR2098599	ERR2098600	ERR2098601	ERR2098602	ERR2098603	ERR2098604	ERR2098605	ERR2098606	ERR2098607	ERR2098608	ERR2098609	ERR2098610	ERR2098611	ERR2098612	ERR2098613	ERR2098614	ERR2098615	ERR2098616	ERR2098617	ERR2098618	ERR2098619	ERR2098620	ERR2098621	ERR2098622	ERR2196983	ERR2196984	ERR2196985	ERR2196986	ERR2196987	ERR2196988	ERR2196989	ERR2196990	ERR2196991	ERR2196992	ERR2196993	ERR2196994	ERR2196995
Bacteria	Acidobacteria	8	11	9	16	9	10	19	13	15	10	8	6	23	4	18	19	5	5	12	2	8	6	4	13	5	11	16	12	17	5	9	5	13	8	17	11	9	14	7	1	10	4	1	11	9	18	8	48	49	26	48	31	30	33	40	19	20	28	19	39	26	68	86	112	55	12	13	27	31	15	52	44	38	13	36	15	22	21	21	24	18	59	98	120	45	13	9	14	11	84	27	163	179	141	172	70	240	93	274	157	132	278	154	44	172	1176	133	131	186	1096	1312	1134	814	1468	888	120	120	99	608	438	683	1155	689	1637	593	1412	872	110	134	98	369	448	558	1369	231	613	767	563	143	84	378	291	101	52	1366	1398	963	2220	937	750	48	68	82	147	146	132	101	137	129	218	164	89	2145	76	89	125	1263	1151	1061	1848	2949	1847	86	89	71	454	427	566	2589	2135	1791	1907	85	68	99	288	393	403	681	304	1290	931	123	73	384	332	60	44	2222	2202	2288	1721	1235	10	33	65	89	81	89	79	88	81	82	83	59	149	61	53	113	745	841	513	123	184	112	62	33	36	236	191	320	150	157	90	148	42	51	40	154	263	289	344	178	87	82	62	49	222	150	29	21	180	267	179	140	91	17	14	23	12	27	4	19	27	1105	22	553	8	12	39	68
Bacteria	Actinobacteria	480	539	500	650	449	756	470	672	650	722	208	293	803	46	696	442	270	89	61	24	109	67	16	719	745	702	370	145	228	84	41	23	96	757	802	621	676	184	165	115	270	28	8	358	451	92	92	9	10	5	77	66	10	89	148	11	10	16	137	168	3	18	4	14	52	9	7	64	94	76	13	78	5	2	12	0	16	14	22	11	76	7	9	14	10	9	4	32	4	10	10	30586	24683	29730	28897	20576	41578	18860	40938	27114	7749	14837	15462	15290	30284	12077	21951	21350	15593	5070	6082	3517	11482	5203	1956	24562	16692	23274	14974	10415	11756	6207	2701	5748	2098	4462	8828	28340	40709	19938	23807	12732	10919	19836	12291	24600	4204	5645	11829	11631	3715	3353	241360	515225	12302	15118	4648	9913	7847	4132	6360	6045	21102	19335	24784	23351	19791	21091	19529	11960	13887	20834	22319	19268	19256	13245	4731	5107	2819	25910	10904	3313	20479	18776	21797	10564	8907	10211	13183	7666	6111	19135	21282	25690	22191	28350	10431	7631	9953	13293	6793	9767	11528	10622	3258	2994	169617	401229	18624	22106	10530	13859	6293	12543	6781	16854	16779	20679	19067	17765	18243	19291	4777	9420	15356	1789	15978	12287	10540	3397	3854	1547	1766	784	302	20425	6342	11000	6685	5373	7122	929	648	397	1742	11921	24677	11292	11044	8421	7028	6348	8857	562	908	7339	7566	1978	1604	162214	284076	1723	3077	978	1251	582	758	485	121	901	364	1	0	1	6271	9662	12089	92506	219996	3493	1488
Bacteria	Aquificae	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	2	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Armatimonadetes	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	9	15	11	4	32	4	35	13	9	27	19	1	31	22	14	13	14	19	28	15	12	20	9	22	11	20	15	13	12	9	9	53	8	20	12	15	16	18	26	26	12	35	4	43	7	32	24	16	21	20	11	8	16	18	21	53	23	36	4	5	12	8	11	4	10	13	5	14	10	9	33	11	11	7	4	30	17	38	42	17	12	10	12	8	9	12	21	27	20	31	12	10	9	26	20	6	16	16	20	55	24	10	26	15	10	7	29	27	43	35	73	8	0	9	3	3	5	4	3	8	4	1	4	3	4	0	9	10	11	8	1	4	1	5	2	4	2	4	1	1	2	6	4	3	7	2	5	9	1	7	6	1	5	8	3	9	5	1	0	3	6	3	1	5	1	1	0	1	4	0	0	0	13	2	10	3	7	108	197
Bacteria	Bacteroidetes	1814	2278	1924	3043	1947	3322	2185	2766	3095	3605	1262	1776	3342	116	3934	2894	1195	638	518	306	612	486	151	2935	3820	3057	2088	1192	1454	644	459	173	981	4124	4417	3994	3380	1550	1404	936	1634	137	142	3219	3605	1201	1589	178	192	179	209	156	151	180	218	165	236	53	202	370	151	160	512	230	274	51	20	214	285	219	348	248	293	87	93	40	124	290	372	381	234	427	469	657	330	14	14	190	161	273	68	215205	179075	214612	210289	130102	296680	130249	308732	202230	86911	189835	167024	98472	226020	97227	203596	213280	120716	119008	152036	88496	122472	94619	63241	178094	157075	191080	169270	143556	158283	125810	63379	146363	56457	129765	162141	254932	297137	218407	225681	186805	138399	327755	165558	377002	105586	138456	230346	202245	141908	167936	389172	232292	107483	169436	93818	214488	155402	95540	5818	4158	146036	135625	174095	164729	130679	143950	143852	146208	142820	144009	181085	170607	191829	97285	114799	128333	75605	275096	195612	131412	146172	175588	177438	116227	123877	132964	266253	184918	174432	349996	187596	183238	239761	257160	150941	93414	160516	189149	173431	239251	217155	179867	129249	169523	277374	189497	163663	246754	211514	281793	159043	8824	2620	126043	131177	154765	149228	127273	136210	148957	63248	108685	117659	15094	153923	128719	93526	94363	108806	45846	19080	13089	7569	165071	62124	97419	84937	84633	104828	18079	15882	9250	31018	115952	186509	129953	111624	139985	93549	117967	139199	14376	23090	158558	149212	93053	90341	194403	131392	16024	36308	20132	26452	12696	1410	787	938	6124	3301	26	82	88	104815	94362	176090	135598	98000	29048	11928
Bacteria	Caldiserica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	3	0	11	123	328
Bacteria	Candidatus_Acetothermia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Adlerbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Aerophobetes	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Amesbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	2	0	2	2	3	6	3	3	4	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	4	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	3	2	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	5	0	0	0	1	6	1	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Bacteria	Candidatus_Aminicenantes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Atribacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Azambacteria	0	0	1	0	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	5	3	6	3	6	1	0	1	0	2	1	0	2	2	0	0	3	1	1	0	0	0	2	1	1	2	1	0	0	1	0	0	2	1	3	0	0	4	1	1	0	6	0	0	8	5	7	2	3	0	1	0	0	0	0	2	0	0	3	3	0	2	0	0	2	0	0	0	0	2	1	0	3	3	3	0	1	0	3	1	0	1	0	0	0	0	0	1	1	1	0	0	4	0	0	3	0	4	7	16	3	4	0	1	2	0	0	0	9	0	0	2	3	0	2	7	4	2	0	2	3	0	6	0	0	1	0	1	0	0	0	0	1	1	0	1	3	0	0	0	0	1	1	0	0	2	2	1	0	0	0	5	10	4	1	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Bacteria	Candidatus_Beckwithbacteria	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	2	0	3	2	5	0	1	1	1	0	2	1	3	0	2	1	1	1	2	0	0	4	2	1	0	1	2	1	0	0	0	0	1	1	1	1	2	1	1	1	0	2	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	1	1	0	0	7	0	4	0	0	1	1	3	0	0	2	0	0	1	0	1	2	2	0	0	2	0	3	3	0	1	0	1	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	2	1	1	3	0	3	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	1	3	0	0	0	1	0	1	2	1	0	1	0	1	0	0	1	1	2	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Berkelbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	0	1	0	0	0	1	2	1	1	3	7	0	0	3	3	3	5	0	0	0	2	0	1	1	1	2	1	0	1	0	1	0	1	4	2	1	1	2	4	0	4	2	2	3	2	0	1	2	12	2	3	1	1	1	0	1	1	1	2	1	1	1	2	0	1	2	0	4	2	2	0	2	2	0	2	2	0	1	1	3	0	0	4	2	1	0	1	2	0	1	2	2	1	3	1	0	3	2	2	1	1	4	4	1	0	0	2	0	0	1	1	0	1	2	0	0	0	0	0	1	0	1	1	1	1	3	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	2	0	0	1	3	0	1	1	2	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Campbellbacteria	0	0	0	4	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	27	9	8	11	10	16	10	3	5	5	6	2	18	5	5	2	1	3	2	6	4	6	4	3	5	5	1	3	3	1	0	0	3	6	5	4	2	6	3	3	6	1	11	1	1	8	1	6	4	0	0	6	5	0	0	3	0	0	0	18	16	16	4	3	8	3	4	2	4	18	8	2	3	0	3	1	16	13	6	8	3	9	4	3	3	7	2	6	5	7	1	3	4	1	2	4	6	7	8	4	3	3	0	0	0	13	7	3	5	5	0	0	4	11	9	9	5	10	10	1	3	8	1	8	6	2	2	2	4	0	0	1	3	0	3	1	6	2	0	0	1	0	1	11	2	5	3	1	2	2	0	0	2	3	1	2	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0
Bacteria	Candidatus_Cloacimonetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Collierbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	4	0	0	2	0	0	3	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	5	0	0	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	3	1	0	0	1	0	0	1	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Bacteria	Candidatus_Curtissbacteria	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	2	2	4	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	2	2	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	3	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Dadabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
