kingdom	phylum	ERZ477577
Archaea	Unassigned	1
Bacteria	Acidobacteria	1
Bacteria	Bacteroidetes	27
Bacteria	Candidatus_Pacebacteria	1
Bacteria	Chloroflexi	4
Bacteria	Cyanobacteria	2
Bacteria	Nitrospirae	1
Bacteria	Planctomycetes	2
Bacteria	Proteobacteria	81
Bacteria	Spirochaetes	1
Bacteria	Unassigned	8
Bacteria	Verrucomicrobia	4
Eukaryota	Apicomplexa	5
Eukaryota	Arthropoda	3
Eukaryota	Bacillariophyta	3
Eukaryota	Mollusca	1
Eukaryota	Nematoda	3
Eukaryota	Platyhelminthes	3
Eukaryota	Unassigned	12
