superkingdom	kingdom	phylum	ERZ12295397_FASTA	ERZ12295391_FASTA	ERZ13692220_FASTA	ERZ13692201_FASTA	ERZ13692216_FASTA	ERZ13692214_FASTA	ERZ13692212_FASTA	ERZ13692210_FASTA	ERZ13692205_FASTA	ERZ13692193_FASTA	ERZ13692192_FASTA	ERZ13692191_FASTA	ERZ13692166_FASTA	ERZ13692165_FASTA	ERZ12299276_FASTA	ERZ12299275_FASTA	ERZ12299274_FASTA	ERZ12299273_FASTA	ERZ12299272_FASTA	ERZ12299270_FASTA	ERZ12295461_FASTA	ERZ12295459_FASTA	ERZ12295455_FASTA	ERZ12295454_FASTA	ERZ13692198_FASTA	ERZ13692196_FASTA	ERZ12299269_FASTA	ERZ12295457_FASTA	ERZ12295452_FASTA	ERZ12295450_FASTA	ERZ12295441_FASTA	ERZ12295427_FASTA	ERZ13692219_FASTA	ERZ13692194_FASTA	ERZ12295451_FASTA	ERZ12295449_FASTA	ERZ12295448_FASTA	ERZ12295446_FASTA	ERZ12295445_FASTA	ERZ12295434_FASTA	ERZ12295433_FASTA	ERZ12295432_FASTA	ERZ12295429_FASTA	ERZ12295428_FASTA	ERZ12295426_FASTA	ERZ12295424_FASTA	ERZ12295423_FASTA	ERZ12295422_FASTA	ERZ12295419_FASTA	ERZ12295444_FASTA	ERZ12295443_FASTA	ERZ12295421_FASTA	ERZ12295420_FASTA	ERZ13692218_FASTA	ERZ13692217_FASTA	ERZ13692215_FASTA	ERZ13692213_FASTA	ERZ13692211_FASTA	ERZ13692209_FASTA	ERZ13692208_FASTA	ERZ13692207_FASTA	ERZ13692206_FASTA	ERZ13692204_FASTA	ERZ13692203_FASTA	ERZ13692202_FASTA	ERZ13692200_FASTA	ERZ13692199_FASTA	ERZ13692197_FASTA	ERZ13692195_FASTA	ERZ13692190_FASTA	ERZ13692189_FASTA	ERZ13692188_FASTA	ERZ13692187_FASTA	ERZ13692186_FASTA	ERZ13692185_FASTA	ERZ13692184_FASTA	ERZ13692183_FASTA	ERZ13692182_FASTA	ERZ13692181_FASTA	ERZ13692180_FASTA	ERZ13692178_FASTA	ERZ13692177_FASTA	ERZ13692173_FASTA	ERZ13692172_FASTA	ERZ13692179_FASTA	ERZ13692176_FASTA	ERZ13692175_FASTA	ERZ13692174_FASTA	ERZ13692171_FASTA	ERZ13692170_FASTA	ERZ13692169_FASTA	ERZ13692168_FASTA	ERZ13692167_FASTA	ERZ12299277_FASTA	ERZ12299271_FASTA	ERZ12295458_FASTA	ERZ12295440_FASTA	ERZ12295456_FASTA	ERZ12295453_FASTA	ERZ12295447_FASTA	ERZ12295442_FASTA	ERZ12295438_FASTA	ERZ12295425_FASTA	ERZ12295417_FASTA	ERZ12295416_FASTA	ERZ12295439_FASTA	ERZ12295437_FASTA	ERZ12295435_FASTA	ERZ12295413_FASTA	ERZ12295412_FASTA	ERZ12295410_FASTA	ERZ12295409_FASTA	ERZ12295407_FASTA	ERZ12295405_FASTA	ERZ12295404_FASTA	ERZ12295400_FASTA	ERZ12295408_FASTA	ERZ12295414_FASTA	ERZ12295411_FASTA	ERZ12295406_FASTA	ERZ12295402_FASTA	ERZ12295399_FASTA	ERZ12295398_FASTA	ERZ12295401_FASTA	ERZ12295396_FASTA	ERZ12295395_FASTA	ERZ12295394_FASTA	ERZ12295393_FASTA	ERZ12295392_FASTA	ERZ12295390_FASTA
Eukaryota	Fungi	Zoopagomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota	Metazoa	Annelida	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	1	2	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	1	0	0	1	3	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0
Eukaryota	Metazoa	Arthropoda	1	0	2	3	0	3	1	0	3	2	0	1	0	2	0	2	3	1	0	0	3	0	2	1	5	0	0	4	5	8	2	1	2	1	2	1	2	2	2	3	0	2	2	3	3	1	2	0	4	2	0	1	3	0	0	2	0	0	0	4	1	2	3	3	2	2	0	0	0	0	0	0	1	1	0	0	0	2	0	2	0	4	3	0	5	3	2	0	0	4	0	3	2	0	2	1	3	4	5	0	0	0	1	0	1	2	1	1	5	2	2	2	1	2	3	1	3	0	0	1	4	2	3	1	1	0	1	3	1	0
Eukaryota	Metazoa	Chordata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota	Metazoa	Cnidaria	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
Eukaryota	Metazoa	Ctenophora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Nematoda	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Platyhelminthes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Unassigned	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	1	0	1	2	0	1	0	0	0	0	0	2	0	0	0	0	1	0	2	0	2	0	2	0	0	2	0	0	0	0	0	0	0
Eukaryota	Unassigned	Apicomplexa	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Bacillariophyta	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Cercozoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Ciliophora	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	1	1	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Eukaryota	Unassigned	Euglenozoa	1	2	1	1	0	3	3	0	0	1	0	1	0	2	1	2	2	3	0	0	1	0	1	0	0	2	0	1	4	1	2	0	0	1	0	0	0	0	2	3	3	1	0	1	0	0	0	0	3	1	0	3	0	0	1	0	0	3	0	2	1	1	0	1	2	0	0	1	1	3	3	1	2	0	0	2	2	2	3	2	0	2	1	0	2	2	0	1	2	1	2	1	0	2	3	3	3	0	2	3	1	0	4	1	2	0	3	0	0	1	1	0	3	2	0	3	0	2	1	0	2	2	3	0	2	0	2	3	0	1
Eukaryota	Unassigned	Foraminifera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Haptista	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	2	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Eukaryota	Unassigned	Perkinsozoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Picozoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Unassigned	Unassigned	6	10	24	16	8	10	22	9	18	15	14	12	5	5	12	18	10	15	5	4	11	9	9	15	20	8	2	7	30	23	34	14	14	14	6	9	10	8	25	15	19	11	5	16	9	2	5	4	14	6	5	21	7	12	13	4	20	9	14	12	8	16	12	18	24	5	6	3	5	14	12	16	22	5	2	11	13	14	20	25	13	14	21	12	22	12	5	5	16	6	2	13	4	20	18	14	16	6	7	16	1	3	20	22	14	2	22	6	9	12	25	15	13	21	12	19	6	10	15	5	16	13	23	11	18	11	9	9	7	10
Eukaryota	Viridiplantae	Chlorophyta	0	1	2	3	0	0	0	0	1	0	0	1	0	1	1	0	3	1	1	0	1	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	1	3	1	0	0	1	0	2	0	0	0	0	1	0	0	3	0	1	2	1	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	3	0	0	1	1	0	0	1	0	0	0	0	2	0	0	2	1	0	0	4	0	0	1	1	0	0	0	0	1	0	1
Eukaryota	Viridiplantae	Streptophyta	0	1	4	2	1	0	3	2	1	1	2	1	0	1	3	1	1	4	0	1	3	1	2	1	3	2	1	1	4	0	3	1	0	3	2	3	1	1	1	3	3	3	1	5	1	0	1	0	0	1	0	2	0	1	1	1	2	1	0	4	1	2	3	2	5	3	2	2	3	1	3	6	4	0	0	0	2	0	7	3	4	5	1	0	0	1	3	0	1	1	2	2	1	1	0	1	1	1	2	3	0	0	4	4	2	1	3	1	0	0	1	1	3	0	1	1	1	0	1	0	5	4	3	2	3	2	2	2	1	0
Eukaryota	Viridiplantae	Unassigned	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	2	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0
Unassigned	Unassigned	Unassigned	12	9	53	24	5	7	23	18	18	20	15	18	7	3	15	14	12	13	6	6	11	8	19	22	24	4	4	6	29	9	27	8	16	19	11	8	13	9	14	15	8	11	11	10	14	9	11	3	20	6	6	6	13	16	11	4	14	10	6	27	5	23	11	19	24	17	9	16	8	9	7	9	13	9	7	4	13	11	12	7	12	16	22	14	23	10	8	7	12	8	8	5	8	13	6	19	15	10	13	21	7	18	19	16	10	8	11	15	13	14	18	16	7	11	16	18	12	11	18	5	11	17	18	11	12	7	17	10	7	8
