superkingdom	kingdom	phylum	ERZ11512826_FASTA	ERZ11505257_FASTA	ERZ11505227_FASTA
Archaea	Unassigned	Euryarchaeota	0	1	2
Archaea	Unassigned	Thaumarchaeota	0	1	2
Bacteria	Unassigned	Actinobacteria	3	3	8
Bacteria	Unassigned	Bacteroidetes	16	13	13
Bacteria	Unassigned	Chloroflexi	0	1	2
Bacteria	Unassigned	Cyanobacteria	1	3	2
Bacteria	Unassigned	Firmicutes	5	1	4
Bacteria	Unassigned	Planctomycetes	1	4	6
Bacteria	Unassigned	Proteobacteria	55	34	54
Bacteria	Unassigned	Unassigned	11	8	11
Bacteria	Unassigned	Verrucomicrobia	1	3	5
Eukaryota	Fungi	Ascomycota	2	3	2
Eukaryota	Fungi	Unassigned	4	0	0
Eukaryota	Metazoa	Arthropoda	0	0	1
Eukaryota	Metazoa	Chaetognatha	0	0	2
Eukaryota	Unassigned	Unassigned	1	1	7
Eukaryota	Viridiplantae	Chlorophyta	0	1	0
Unassigned	Unassigned	Unassigned	5	4	6
